selling_price,km_driven,seats,mileage_num,engine_cc,max_power_bhp,fuel_Diesel,fuel_LPG,fuel_Petrol,seller_type_Individual,seller_type_Trustmark Dealer,transmission_Manual,owner_Fourth & Above Owner,owner_Second Owner,owner_Test Drive Car,owner_Third Owner,no_years
450000,145500,5.0,23.4,1248.0,74.0,1,0,0,1,0,1,0,0,0,0,7
370000,120000,5.0,21.14,1498.0,103.52,1,0,0,1,0,1,0,1,0,0,7
158000,140000,5.0,17.7,1497.0,78.0,0,0,1,1,0,1,0,0,0,1,15
225000,127000,5.0,23.0,1396.0,90.0,1,0,0,1,0,1,0,0,0,0,11
130000,120000,5.0,16.1,1298.0,88.2,0,0,1,1,0,1,0,0,0,0,14
440000,45000,5.0,20.14,1197.0,81.86,0,0,1,1,0,1,0,0,0,0,4
96000,175000,5.0,17.3,1061.0,57.5,0,1,0,1,0,1,0,0,0,0,14
45000,5000,4.0,16.1,796.0,37.0,0,0,1,1,0,1,0,1,0,0,20
350000,90000,5.0,23.59,1364.0,67.1,1,0,0,1,0,1,0,0,0,0,10
200000,169000,5.0,20.0,1399.0,68.1,1,0,0,1,0,1,0,0,0,0,8
500000,68000,5.0,19.01,1461.0,108.45,1,0,0,1,0,1,0,1,0,0,7
92000,100000,5.0,17.3,993.0,60.0,0,0,1,1,0,1,0,1,0,0,16
280000,140000,5.0,19.3,1248.0,73.9,1,0,0,1,0,1,0,1,0,0,12
200000,80000,5.0,18.89078740157478,1418.9650590551182,89.08584830216492,0,0,1,1,0,1,0,1,0,0,14
180000,90000,5.0,18.9,1061.0,67.0,0,0,1,1,0,1,0,1,0,0,12
400000,40000,5.0,18.15,1198.0,82.0,0,0,1,1,0,1,0,0,0,0,5
778000,70000,7.0,24.52,1248.0,88.5,1,0,0,1,0,1,0,1,0,0,5
500000,53000,5.0,23.0,1396.0,90.0,1,0,0,1,0,1,0,1,0,0,9
150000,80000,5.0,19.7,796.0,46.3,0,0,1,1,0,1,0,1,0,0,19
680000,100000,5.0,22.54,1396.0,88.73,1,0,0,1,0,1,0,0,0,0,5
174000,100000,5.0,21.0,1461.0,64.1,1,0,0,1,0,1,0,1,0,0,10
